District,date,Vehicle,Industry,Residential,Misc,Construction,Agriculture,Sum_of_Sources,Vehicle_percentage,Industry_percentage,Residential_percentage,Misc_percentage,Construction_percentage,Agriculture_percentage
Lahore,2024-11-24 20:00:00,625.709998512268,289.4599987983704,106.60499973297118,4.338999900817871,82.93999977111817,63.54599985122681,1172.5999965667725,53.36090741465712,24.685314655114567,9.09133549762045,0.3700323992428727,7.07317073289751,5.419239300467476
Lahore,2024-11-24 21:00:00,529.2650000572204,255.0750001430511,90.61499996185304,3.9990000152587895,74.35,55.49600001335144,1008.800000190735,52.46480967061377,25.284992079185546,8.982454395789093,0.39641157955022743,7.370142742460602,5.5011895324007485
Lahore,2024-11-24 22:00:00,496.9650011062622,242.62000093460082,85.36000022888183,3.766000061035156,71.18500022888183,52.80400011062621,952.7000026702881,52.16385008012355,25.466568726206578,8.959798466424834,0.3952975806108504,7.4719219092432025,5.542563237390974
Lahore,2024-11-24 23:00:00,503.1550004959106,243.4750005722046,86.49500017166139,3.6410000038146975,71.36000022888183,53.274000053405764,961.4000015258789,52.335656303030156,25.325046826063556,8.996775539253326,0.37871853526481286,7.422508853299702,5.541293943088447
Lahore,2024-11-24 00:00:00,335.6800000190735,158.7400001049042,62.515000057220455,1.8810000038146972,41.525,37.459000005722054,637.8000001907349,52.630918770568826,24.88867984594431,9.801661969038141,0.2949200381392571,6.51066164747286,5.87315772883661
Lahore,2024-11-24 01:00:00,628.6150000572204,256.8300006389618,109.75,2.4579999923706053,66.31000022888183,60.537000036239625,1124.500000953674,55.901734061725215,22.839484252658742,9.759893277627606,0.21858603737536741,5.896843056704772,5.383459313908312
Lahore,2024-11-24 02:00:00,1020.1750005722046,389.87999982833867,172.88000011444095,3.2880000686645503,100.23999977111818,91.63700002670289,1778.1000003814697,57.374444651782156,21.926775757533022,9.722737758132368,0.18491648770930488,5.637478192993246,5.153647151849912
Lahore,2024-11-24 03:00:00,1248.479999732971,468.48999986648556,210.07000007629398,3.7819999694824222,120.27500000000002,110.30299997329715,2161.3999996185303,57.762561300699446,21.675303041971418,9.719163510380756,0.1749791787799535,5.564680300787804,5.103312667380621
Lahore,2024-11-24 04:00:00,1153.63000125885,436.9500002861023,195.75000019073488,3.53200008392334,111.9,104.23800008773804,2006.0000019073486,57.50897308883117,21.782153532933236,9.758225324257802,0.17607178866226506,5.578265199082903,5.1963110662326155
Lahore,2024-11-24 05:00:00,895.3849992752075,352.15999917984004,155.37500000000003,2.9729999542236327,90.48999977111816,86.11699991226197,1582.4999980926514,56.580410764890566,22.25339649948119,9.818325446272969,0.1878672959119695,5.718167448984743,5.441832544458559
Lahore,2024-11-24 06:00:00,680.3099988937378,279.51999874114995,122.13499984741213,2.4589999389648436,71.23499965667725,70.5409998703003,1226.1999969482422,55.48116135923083,22.79562872588626,9.960446921495747,0.20053824376812796,5.80941117549881,5.752813574120228
Lahore,2024-11-24 07:00:00,553.9949995994568,237.22499938011174,103.49499998092651,2.1469999885559083,59.339999771118165,61.19799994468689,1017.3999986648561,54.45203463008353,23.31678786037197,10.172498537128368,0.21102811002294447,5.832514237172265,6.015136625220919
Lahore,2024-11-24 08:00:00,472.8350000381469,211.27499947547912,92.18000016212466,1.9900000095367434,51.93999977111817,55.37999997138977,885.5999994277954,53.391486036998124,23.856707273259744,10.40876244598962,0.22470641495285953,5.864950294114463,6.253387534685179
Lahore,2024-11-24 09:00:00,515.4100006103515,227.28500118255616,100.07999992370605,2.214000015258789,55.32000045776367,58.79100009918213,959.1000022888182,53.73892184134764,23.69773752894985,10.434782575839103,0.2308414148655248,5.767907447163669,6.129809191834213
Lahore,2024-11-24 10:00:00,794.835001373291,321.495001411438,144.95000038146975,3.0720000457763676,79.07000045776368,80.5780001449585,1424.000003814697,55.817064553654426,22.57689610605322,10.179073033228157,0.2157303397153728,5.552668556597346,5.658567410751495
Lahore,2024-11-24 11:00:00,1196.2699983596801,455.839997959137,208.70999965667724,4.275999946594238,113.3699993133545,111.73399980545047,2090.1999950408936,57.2323223231218,21.80843933789306,9.985168890625413,0.20457372293269863,5.423882862038591,5.345612863388436
Lahore,2024-11-24 12:00:00,1474.7649993896482,581.2899988174439,248.99500007629396,6.31099998474121,154.4049995422363,137.13399990081786,2602.899997711181,56.65853473765644,22.332398452825387,9.56606094338022,0.2424603323328091,5.932037330593181,5.268508203211974
Lahore,2024-11-24 13:00:00,1451.5299980163572,578.4049983978273,244.76499977111817,6.556999893188476,154.3799995422363,134.66299980163575,2570.299995422363,56.47317436102767,22.50340424961878,9.522818356107779,0.2551064041110501,6.006302759101391,5.239193870033343
Lahore,2024-11-24 14:00:00,1278.9099992752076,521.5500006675721,215.5550001144409,6.6849998855590815,140.49500045776367,119.40499998092652,2282.60000038147,56.02865149660366,22.848944211881637,9.443397883046401,0.29286777729089103,6.155042514425831,5.231096116751575
Lahore,2024-11-24 15:00:00,1117.61999835968,465.95499696731565,188.41499958038332,6.592999992370605,126.54999885559081,105.16699975967408,2010.2999935150142,55.594687457841495,23.178381260032353,9.372481728507557,0.3279610015240924,6.295080299648107,5.23140825244641
Lahore,2024-11-24 16:00:00,1027.3400009155275,432.95499973297115,173.2850002288818,6.215000076293945,118.46499977111816,97.44000003814696,1855.7000007629395,55.36131920532167,23.331087975155956,9.33798567428133,0.3349140525806302,6.38384435643764,5.250848736222782
Lahore,2024-11-24 17:00:00,951.2199989318847,405.524997138977,160.65499992370604,5.719000015258789,111.8749988555908,91.10599979400635,1726.0999946594238,55.10804715109043,23.493714060232705,9.307398205247363,0.3313249541135189,6.481374149917937,5.2781414793980375
Lahore,2024-11-24 18:00:00,868.7499999046324,376.0499994754792,146.9499999046326,5.240000019073486,104.76499977111817,84.24499997138977,1585.9999990463257,54.77616648341858,23.710592667187957,9.265447666645322,0.3303909219561374,6.605611591053859,5.311790669738143
Lahore,2024-11-24 19:00:00,759.1849994659424,336.89499988555906,128.76499996185305,4.784999961853028,95.075,75.09499996185303,1399.7999992370605,54.235247883963744,24.067366771622982,9.19881411859083,0.34183454525368046,6.792041723947648,5.364694956621118
Lahore,2024-11-24 20:00:00,643.1099985122681,295.2599987983704,109.50499973297119,4.338999900817871,84.38999977111816,64.99599985122683,1201.5999965667727,53.52113851113269,24.57223698751591,9.113265649621365,0.36110185695866504,7.02313581992663,5.409121174844729
Lahore,2024-11-24 21:00:00,559.8650000572204,265.27500014305116,95.71499996185305,3.9990000152587895,76.9,58.046000013351446,1059.8000001907349,52.82742026386678,25.03066617242017,9.031421017609642,0.37733534766362326,7.256086052666552,5.477071145773237
Lahore,2024-11-24 22:00:00,533.5650011062622,254.8200009346008,91.46000022888182,3.766000061035156,74.23500022888183,55.85400011062621,1013.700002670288,52.63539505778293,25.137614704878576,9.022393211794213,0.37151031381224825,7.323172539541485,5.509914172190553
Lahore,2024-11-24 23:00:00,539.7550004959106,255.6750005722046,92.59500017166138,3.6410000038146975,74.41000022888183,56.32400005340576,1022.4000015258788,52.79293815437739,25.007335699395828,9.056631458672552,0.35612284804193023,7.277973407455867,5.508998432056448
Lahore,2024-11-24 00:00:00,320.6800000190735,153.7400001049042,60.015000057220455,1.8810000038146972,40.275,36.20900000572205,612.8000001907349,52.33028719309095,25.08812011374876,9.79357050237283,0.306951697654901,6.572291120669769,5.908779372462784
Lahore,2024-11-24 01:00:00,542.2150000572204,228.0300006389618,95.35,2.4579999923706053,59.11000022888183,53.33700003623962,980.5000009536743,55.299846968877105,23.256501827350384,9.724630281209453,0.2506884232513875,6.028556876225297,5.439775623086372
Lahore,2024-11-24 02:00:00,837.7750005722046,329.07999982833866,142.48000011444094,3.2880000686645503,85.03999977111818,76.43700002670289,1474.1000003814697,56.832982861095175,22.324129960191225,9.66555865121564,0.22305135796850126,5.768943745275856,5.185333424253606
Lahore,2024-11-24 03:00:00,1008.4799997329712,388.4899998664855,170.07000007629395,3.7819999694824222,100.275,90.30299997329713,1761.3999996185305,57.254456679424294,22.05575110427055,9.655387766159096,0.21471556547641063,5.692914728154692,5.126774156514943
Lahore,2024-11-24 04:00:00,929.2300012588502,362.1500002861023,158.35000019073487,3.53200008392334,93.2,85.53800008773804,1632.0000019073486,56.93811275568884,22.19056371708645,9.702818627798303,0.21642157351687658,5.710784307051191,5.241299018858346
Lahore,2024-11-24 05:00:00,724.9849992752075,295.3599991798401,126.975,2.9729999542236327,76.28999977111818,71.91699991226199,1298.4999980926514,55.8324990635447,22.746245638328094,9.778590695919277,0.2289564850666639,5.875240653306084,5.538467463835184
Lahore,2024-11-24 06:00:00,560.9099988937377,239.7199987411499,102.23499984741213,2.4589999389648436,61.28499965667725,60.5909998703003,1027.1999969482422,54.605724353599314,23.337227361112305,9.952784282627238,0.2393886240528042,5.966218831654186,5.8986565469541485
Lahore,2024-11-24 07:00:00,474.19499959945676,210.62499938011172,90.1949999809265,2.1469999885559083,52.68999977111816,54.547999944686886,884.399998664856,53.617706955600454,23.815581150846228,10.198439633320936,0.2427634545225181,5.9577114259002935,6.167797379809573
Lahore,2024-11-24 08:00:00,430.8350000381469,197.27499947547912,85.18000016212466,1.9900000095367434,48.43999977111817,51.87999997138977,815.5999994277954,52.8243011697413,24.18771451862216,10.443845049274744,0.24399215435665492,5.939185851532916,6.360961256472226
Lahore,2024-11-24 09:00:00,496.2100006103516,220.88500118255615,96.87999992370605,2.214000015258789,53.720000457763675,57.19100009918213,927.1000022888184,53.52281300672114,23.82536950029519,10.449789632674939,0.2388091910034387,5.7944127197864415,6.1688059495188625
Lahore,2024-11-24 10:00:00,767.235001373291,312.295001411438,140.35000038146973,3.0720000457763676,76.77000045776369,78.2780001449585,1378.0000038146973,55.67743100503378,22.66291731109698,10.185050797746072,0.22293178790073984,5.571117579480582,5.680551518741847
Lahore,2024-11-24 11:00:00,1145.2699983596801,438.839997959137,200.20999965667724,4.275999946594238,109.1199993133545,107.48399980545047,2005.1999950408936,57.11500105685586,21.88509869561352,9.984540203063098,0.21324555940401518,5.441851166129149,5.3602633189343525
Lahore,2024-11-24 12:00:00,1421.3649993896483,563.489998817444,240.09500007629396,6.31099998474121,149.95499954223632,132.68399990081787,2513.8999977111816,56.5402363134473,22.414972724869006,9.550698130191817,0.2510441939013945,5.965034395909349,5.2780142416811335
Lahore,2024-11-24 13:00:00,1444.9299980163573,576.2049983978272,243.66499977111818,6.556999893188476,153.82999954223632,134.11299980163574,2559.2999954223633,56.458015887187905,22.514164006894223,9.520767405421182,0.2562028642564964,6.010627898932561,5.240221937307625
Lahore,2024-11-24 14:00:00,1340.1099992752077,541.9500006675721,225.75500011444092,6.6849998855590815,145.5950004577637,124.50499998092653,2384.6000003814697,56.19852382205936,22.7270821345666,9.467206243324934,0.28034051348191175,6.105636183614549,5.221211102952663
Lahore,2024-11-24 15:00:00,1220.81999835968,500.3549969673156,205.6149995803833,6.592999992370605,135.1499988555908,113.76699975967408,2182.299993515014,55.94189625567081,22.92787419026646,9.421940163652788,0.3021124507154174,6.193007343500273,5.213169596194263
Lahore,2024-11-24 16:00:00,1120.3400009155273,463.95499973297115,188.7850002288818,6.215000076293945,126.21499977111816,105.19000003814696,2010.7000007629395,55.71890388871665,23.074302459687086,9.389018757509787,0.30909633828695116,6.2771671419519155,5.231511413847601
Lahore,2024-11-24 17:00:00,1008.8199989318847,424.724997138977,170.25499992370604,5.719000015258789,116.67499885559081,95.90599979400635,1822.0999946594238,55.36578683325486,23.309642631241218,9.343888942578538,0.313868614896064,6.403325788791246,5.263487189238071
Lahore,2024-11-24 18:00:00,892.7499999046324,384.0499994754791,150.9499999046326,5.240000019073486,106.76499977111817,86.24499997138977,1625.9999990463257,54.90467407307775,23.61931117470667,9.283517834758124,0.3222632239942699,6.566113150906365,5.304120542556815
Lahore,2024-11-24 19:00:00,761.5849994659424,337.69499988555907,129.16499996185303,4.784999961853028,95.275,75.29499996185304,1403.7999992370605,54.25167401908034,24.055777181157577,9.201097024651078,0.34086051890964436,6.7869354645804405,5.36365579162092
